dataset,query_set,mu,algorithm,params,rel_err,samples,query_time,build_time
aloi,test,0.001,ann-faiss,"{}_[0, 10, 32, 1]",1.2335741614745857,10.0,0.00478951930999756,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 32, 5]",1.331405235130851,10.0,0.004779052734374999,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 32, 10]",1.3392285385425065,10.0,0.0042813062667846685,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 32, 50]",1.2339998782201416,10.0,0.004359841346740723,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 64, 1]",1.3822890235754495,10.0,0.004561209678649902,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 64, 5]",1.1796881901789023,10.0,0.004894208908081054,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 64, 10]",1.3597642964992978,10.0,0.0043749332427978505,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 64, 50]",1.4009820045596384,10.0,0.004340839385986327,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 128, 1]",1.3366632596109873,10.0,0.0045116424560546885,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 128, 5]",1.2544491980279915,10.0,0.0047918081283569326,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 128, 10]",1.2972816986317786,10.0,0.004290580749511719,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 128, 50]",1.1724096235195967,10.0,0.00429544448852539,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 256, 1]",1.4644198052610813,10.0,0.004511022567749023,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 256, 5]",1.3145910254805653,10.0,0.004713034629821778,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 256, 10]",1.3667697726158825,10.0,0.004323291778564454,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 256, 50]",1.2653928019619607,10.0,0.0043149471282958995,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 512, 1]",1.3871447819279699,10.0,0.004485106468200684,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 512, 5]",1.3661652860781233,10.0,0.004988670349121094,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 512, 10]",1.34065830267386,10.0,0.004240703582763671,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 512, 50]",1.4290140980737074,10.0,0.004258775711059571,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 1024, 1]",1.286276735709851,10.0,0.004375648498535155,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 1024, 5]",1.3770834558764766,10.0,0.004650735855102539,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 1024, 10]",1.4019404277062064,10.0,0.004144549369812012,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 1024, 50]",1.4222476088686147,10.0,0.004208850860595704,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 2048, 1]",1.3548296231191577,10.0,0.004698061943054199,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 2048, 5]",1.4343470947723853,10.0,0.004737973213195801,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 2048, 10]",1.315909779543367,10.0,0.004219961166381835,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 2048, 50]",1.287465579607154,10.0,0.004243707656860351,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 4096, 1]",1.2389034738558065,10.0,0.00471200942993164,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 4096, 5]",1.3420268508195548,10.0,0.004858422279357911,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 4096, 10]",1.366338475828591,10.0,0.004278254508972167,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 10, 4096, 50]",1.4157224310816232,10.0,0.004341387748718262,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 32, 1]",1.1274577133820198,20.0,0.008723092079162597,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 32, 5]",1.1654760424194555,20.0,0.008274197578430176,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 32, 10]",1.045003249903161,20.0,0.008237767219543458,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 32, 50]",1.2345761774018646,20.0,0.008417892456054689,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 64, 1]",1.1499172132821454,20.0,0.008741641044616697,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 64, 5]",1.1819208923799347,20.0,0.008461928367614748,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 64, 10]",1.1661542219157557,20.0,0.00849189758300781,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 64, 50]",1.122966553956737,20.0,0.008391404151916502,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 128, 1]",1.3168751365403903,20.0,0.008974742889404298,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 128, 5]",1.376615738621702,20.0,0.008658862113952639,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 128, 10]",1.1767799019188836,20.0,0.008333802223205566,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 128, 50]",1.1553558030919286,20.0,0.008412098884582522,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 256, 1]",1.160290159340172,20.0,0.008862018585205078,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 256, 5]",1.1595850691926186,20.0,0.008746790885925294,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 256, 10]",1.1505854930293504,20.0,0.008364486694335939,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 256, 50]",1.1439959878125165,20.0,0.008240294456481933,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 512, 1]",1.1302386782276603,20.0,0.009253001213073733,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 512, 5]",1.2979757229636644,20.0,0.008432674407958985,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 512, 10]",1.0668493155632999,20.0,0.008402466773986816,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 512, 50]",1.115941747591487,20.0,0.008477783203125002,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 1024, 1]",1.108209817007305,20.0,0.009047555923461913,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 1024, 5]",1.205199073610669,20.0,0.008263301849365233,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 1024, 10]",1.0979588179921758,20.0,0.008270621299743652,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 1024, 50]",1.1914458933895673,20.0,0.008270263671875,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 2048, 1]",1.2291014285509598,20.0,0.00870552062988281,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 2048, 5]",1.1910955702122814,20.0,0.008262681961059571,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 2048, 10]",1.1191953913315738,20.0,0.008258008956909178,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 2048, 50]",1.1082609404239154,20.0,0.00819242000579834,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 4096, 1]",1.1218322777743956,20.0,0.009251284599304199,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 4096, 5]",1.1115167455700303,20.0,0.00877871513366699,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 4096, 10]",1.1219921345817834,20.0,0.008291697502136233,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 20, 4096, 50]",1.1325721331634273,20.0,0.008495020866394044,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 32, 1]",0.9307515434935026,40.0,0.017551898956298828,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 32, 5]",0.929422130461599,40.0,0.01614365577697754,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 32, 10]",0.9801055804728063,40.0,0.016253137588500974,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 32, 50]",1.002547840904917,40.0,0.01636893749237061,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 64, 1]",0.9253236536607352,40.0,0.017731308937072754,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 64, 5]",0.9456697478218895,40.0,0.01649138927459717,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 64, 10]",0.9603267564228143,40.0,0.016646718978881838,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 64, 50]",0.945241944888571,40.0,0.016798710823059084,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 128, 1]",1.0208796909865023,40.0,0.018008947372436523,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 128, 5]",0.9641124604766461,40.0,0.01628627777099609,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 128, 10]",1.0041702605905447,40.0,0.016294360160827637,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 128, 50]",0.9665040900153037,40.0,0.016509079933166502,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 256, 1]",0.9786894506793272,40.0,0.017818331718444824,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 256, 5]",1.0663593668155076,40.0,0.016321659088134766,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 256, 10]",1.0056361898937325,40.0,0.016432452201843258,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 256, 50]",0.9775822562777299,40.0,0.01644792556762695,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 512, 1]",0.9868095342775237,40.0,0.018123221397399907,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 512, 5]",0.9769787846589874,40.0,0.01629250049591064,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 512, 10]",1.002618832536653,40.0,0.016126394271850586,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 512, 50]",1.0219416721832635,40.0,0.01617057323455811,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 1024, 1]",1.0677223503277375,40.0,0.01804850101470947,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 1024, 5]",1.0360559826280813,40.0,0.016294622421264646,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 1024, 10]",0.9753375513811611,40.0,0.016309213638305668,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 1024, 50]",1.0522237478694194,40.0,0.016457056999206545,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 2048, 1]",1.0303770737940139,40.0,0.017507576942443846,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 2048, 5]",1.033772667648306,40.0,0.01620419025421143,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 2048, 10]",0.9879542277737302,40.0,0.016343617439270017,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 2048, 50]",1.0166204831512744,40.0,0.016381382942199707,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 4096, 1]",1.0325342474412065,40.0,0.01789171695709229,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 4096, 5]",0.9666349798608268,40.0,0.016335630416870115,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 4096, 10]",1.006395577434648,40.0,0.016599988937377932,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 40, 4096, 50]",0.9706175305524508,40.0,0.016513395309448238,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 32, 1]",0.8328912355262568,80.0,0.03310265541076661,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 32, 5]",0.863396531120281,80.0,0.03176414966583252,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 32, 10]",0.8471384005646674,80.0,0.03184428215026856,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 32, 50]",0.8297906953760307,80.0,0.03205885887145997,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 64, 1]",0.7735885273230597,80.0,0.0333350419998169,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 64, 5]",0.7942486720014122,80.0,0.03204319477081298,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 64, 10]",0.818062602010482,80.0,0.03218839168548583,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 64, 50]",0.845365521977692,80.0,0.032274222373962394,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 128, 1]",0.9151669182143958,80.0,0.03363759517669678,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 128, 5]",0.8565693939973363,80.0,0.0321835994720459,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 128, 10]",0.832336182464205,80.0,0.03224194049835205,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 128, 50]",0.8289703216616406,80.0,0.0320406436920166,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 256, 1]",0.8661553875658426,80.0,0.033432340621948234,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 256, 5]",0.8289803909016377,80.0,0.03249619007110595,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 256, 10]",0.7914706076584059,80.0,0.033038830757141105,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 256, 50]",0.8419364992570829,80.0,0.033012843132019035,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 512, 1]",0.8417294681665096,80.0,0.0338817834854126,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 512, 5]",0.8518917546414515,80.0,0.03220138549804687,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 512, 10]",0.7903626414499899,80.0,0.03259074687957764,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 512, 50]",0.8235480437189373,80.0,0.03254432678222657,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 1024, 1]",0.8293811034918901,80.0,0.03410296440124511,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 1024, 5]",0.846598215663449,80.0,0.03216395378112792,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 1024, 10]",0.9507319673594123,80.0,0.03239648342132568,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 1024, 50]",0.9011320510922471,80.0,0.03255970478057862,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 2048, 1]",0.8582780177447094,80.0,0.033977627754211426,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 2048, 5]",0.8402968956387432,80.0,0.031486320495605465,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 2048, 10]",0.9160625938592728,80.0,0.03156137466430664,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 2048, 50]",0.8492179061932007,80.0,0.03174290657043456,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 4096, 1]",0.8745299269676916,80.0,0.03333616256713867,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 4096, 5]",0.8806153887545788,80.0,0.032050251960754395,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 4096, 10]",0.8180797372500558,80.0,0.032082438468933105,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 80, 4096, 50]",0.8324839743624727,80.0,0.03218712806701661,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 160, 32, 1]",0.7707849187761266,160.0,0.06520209312438964,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 160, 32, 5]",0.700395714610898,160.0,0.06301124095916746,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 160, 32, 10]",0.69469769856608,160.0,0.06349911689758302,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 160, 32, 50]",0.723199373555511,160.0,0.06387767791748046,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 160, 64, 1]",0.7090917784645219,160.0,0.06631925106048585,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 160, 64, 5]",0.6754713925568037,160.0,0.06495397090911867,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 160, 64, 10]",0.6775885542070212,160.0,0.06518859863281248,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 160, 64, 50]",0.7253560732941774,160.0,0.06570620536804198,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 160, 128, 1]",0.7360129569640379,160.0,0.06507275104522704,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 160, 128, 5]",0.6599936828352442,160.0,0.06338331699371337,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 160, 128, 10]",0.7024654601687622,160.0,0.0628708839416504,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 160, 128, 50]",0.7082245447289476,160.0,0.06305773258209227,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 160, 256, 1]",0.6927231186174106,160.0,0.0645068883895874,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 160, 256, 5]",0.6740962803283516,160.0,0.06221752166748048,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 160, 256, 10]",0.6750968435581339,160.0,0.061521124839782705,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 160, 256, 50]",0.6851177124049688,160.0,0.06170496940612792,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 160, 512, 1]",0.6855391197891864,160.0,0.06525442600250243,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 160, 512, 5]",0.6796636375992556,160.0,0.06402900218963624,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 160, 512, 10]",0.7040220433333944,160.0,0.06465294361114503,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 160, 512, 50]",0.6763105785572974,160.0,0.06431884765624998,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 160, 1024, 1]",0.7000244074868246,160.0,0.06467986106872559,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 160, 1024, 5]",0.6998403898863238,160.0,0.06308205127716063,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 160, 1024, 10]",0.6853829026284765,160.0,0.06318621635437013,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 160, 1024, 50]",0.6923129547767626,160.0,0.0627798080444336,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 160, 2048, 1]",0.6960437993548516,160.0,0.06433653831481934,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 160, 2048, 5]",0.7133591065865282,160.0,0.06274075508117674,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 160, 2048, 10]",0.7190249884644658,160.0,0.06307518482208252,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 160, 2048, 50]",0.6886720625866236,160.0,0.06337301731109621,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 160, 4096, 1]",0.7268912492778808,160.0,0.06479279994964601,3.663372755050659
aloi,test,0.001,ann-faiss,"{}_[0, 160, 4096, 5]",0.7074631071634145,160.0,0.06330816745758058,3.663372755050659
aloi,test,0.001,ann-faiss,"{}_[0, 160, 4096, 10]",0.7033982907858515,160.0,0.06108598709106446,3.663372755050659
aloi,test,0.001,ann-faiss,"{}_[0, 160, 4096, 50]",0.6755012240229571,160.0,0.059209346771240234,3.663372755050659
aloi,test,0.001,ann-faiss,"{}_[0, 320, 32, 1]",0.5657956159407803,320.0,0.12324087619781496,3.663372755050659
aloi,test,0.001,ann-faiss,"{}_[0, 320, 32, 5]",0.5774370992348641,320.0,0.12108669281005861,3.663372755050659
aloi,test,0.001,ann-faiss,"{}_[0, 320, 32, 10]",0.576964429388313,320.0,0.12078120708465574,3.663372755050659
aloi,test,0.001,ann-faiss,"{}_[0, 320, 32, 50]",0.5846978020153076,320.0,0.1198107957839966,3.663372755050659
aloi,test,0.001,ann-faiss,"{}_[0, 320, 64, 1]",0.5659942283981095,320.0,0.13501212596893314,3.663372755050659
aloi,test,0.001,ann-faiss,"{}_[0, 320, 64, 5]",0.5923426954272871,320.0,0.13218088150024412,3.663372755050659
aloi,test,0.001,ann-faiss,"{}_[0, 320, 64, 10]",0.5816738962187333,320.0,0.1291972875595093,3.663372755050659
aloi,test,0.001,ann-faiss,"{}_[0, 320, 64, 50]",0.588827878870373,320.0,0.1265437841415405,3.663372755050659
aloi,test,0.001,ann-faiss,"{}_[0, 320, 128, 1]",0.574219610609571,320.0,0.13683414459228516,3.663372755050659
aloi,test,0.001,ann-faiss,"{}_[0, 320, 128, 5]",0.570561768894463,320.0,0.13390550613403324,3.663372755050659
aloi,test,0.001,ann-faiss,"{}_[0, 320, 128, 10]",0.5789047050747739,320.0,0.13275120258331302,3.663372755050659
aloi,test,0.001,ann-faiss,"{}_[0, 320, 128, 50]",0.5892394424863292,320.0,0.13044230937957765,3.663372755050659
aloi,test,0.001,ann-faiss,"{}_[0, 320, 256, 1]",0.5702808178092744,320.0,0.13269584178924562,3.663372755050659
aloi,test,0.001,ann-faiss,"{}_[0, 320, 256, 5]",0.5788043658637194,320.0,0.12737462520599369,3.663372755050659
aloi,test,0.001,ann-faiss,"{}_[0, 320, 256, 10]",0.5851317184542119,320.0,0.12833957672119142,3.663372755050659
aloi,test,0.001,ann-faiss,"{}_[0, 320, 256, 50]",0.5973588715966951,320.0,0.12871782779693605,3.663372755050659
aloi,test,0.001,ann-faiss,"{}_[0, 320, 512, 1]",0.5950585764732202,320.0,0.13234932422637938,3.663372755050659
aloi,test,0.001,ann-faiss,"{}_[0, 320, 512, 5]",0.5905375877834096,320.0,0.1312447547912598,3.663372755050659
aloi,test,0.001,ann-faiss,"{}_[0, 320, 512, 10]",0.565554303865962,320.0,0.12823498249053955,3.663372755050659
aloi,test,0.001,ann-faiss,"{}_[0, 320, 512, 50]",0.5772804912018726,320.0,0.12624788284301758,3.663372755050659
aloi,test,0.001,ann-faiss,"{}_[0, 320, 1024, 1]",0.5824697456733834,320.0,0.13101677894592287,3.663372755050659
aloi,test,0.001,ann-faiss,"{}_[0, 320, 1024, 5]",0.5499472580122184,320.0,0.12932739257812503,3.663372755050659
aloi,test,0.001,ann-faiss,"{}_[0, 320, 1024, 10]",0.5972922830144561,320.0,0.1256606817245483,3.663372755050659
aloi,test,0.001,ann-faiss,"{}_[0, 320, 1024, 50]",0.5815352338962982,320.0,0.12452671527862551,3.663372755050659
aloi,test,0.001,ann-faiss,"{}_[0, 320, 2048, 1]",0.5793500002017575,320.0,0.12957642078399662,3.663372755050659
