dataset,query_set,mu,algorithm,params,rel_err,samples,query_time,build_time
aloi,test,0.001,ann-faiss,"{}_[0, 0, 32, 1]",1.0,0.0,3.626346588134765e-05,0.12774419784545898
aloi,test,0.001,ann-faiss,"{}_[0, 0, 32, 5]",1.0,0.0,3.173351287841796e-05,0.12774419784545898
aloi,test,0.001,ann-faiss,"{}_[0, 0, 32, 10]",1.0,0.0,3.054141998291015e-05,0.12774419784545898
aloi,test,0.001,ann-faiss,"{}_[0, 0, 32, 50]",1.0,0.0,1.552104949951172e-05,0.12774419784545898
aloi,test,0.001,ann-faiss,"{}_[0, 0, 64, 1]",1.0,0.0,3.14950942993164e-05,0.12774419784545898
aloi,test,0.001,ann-faiss,"{}_[0, 0, 64, 5]",1.0,0.0,2.882480621337891e-05,0.12774419784545898
aloi,test,0.001,ann-faiss,"{}_[0, 0, 64, 10]",1.0,0.0,1.5830993652343748e-05,0.12774419784545898
aloi,test,0.001,ann-faiss,"{}_[0, 0, 64, 50]",1.0,0.0,1.5282630920410158e-05,0.12774419784545898
aloi,test,0.001,ann-faiss,"{}_[0, 0, 128, 1]",1.0,0.0,3.1661987304687496e-05,0.12774419784545898
aloi,test,0.001,ann-faiss,"{}_[0, 0, 128, 5]",1.0,0.0,2.9230117797851558e-05,0.12774419784545898
aloi,test,0.001,ann-faiss,"{}_[0, 0, 128, 10]",1.0,0.0,2.8657913208007817e-05,0.12774419784545898
aloi,test,0.001,ann-faiss,"{}_[0, 0, 128, 50]",1.0,0.0,1.540184020996094e-05,0.12774419784545898
aloi,test,0.001,ann-faiss,"{}_[0, 0, 256, 1]",1.0,0.0,3.292560577392577e-05,0.22461485862731934
aloi,test,0.001,ann-faiss,"{}_[0, 0, 256, 5]",1.0,0.0,2.8800964355468746e-05,0.22461485862731934
aloi,test,0.001,ann-faiss,"{}_[0, 0, 256, 10]",1.0,0.0,1.568794250488281e-05,0.22461485862731934
aloi,test,0.001,ann-faiss,"{}_[0, 0, 256, 50]",1.0,0.0,1.540184020996094e-05,0.22461485862731934
aloi,test,0.001,ann-faiss,"{}_[0, 0, 512, 1]",1.0,0.0,3.135204315185547e-05,0.3621547222137451
aloi,test,0.001,ann-faiss,"{}_[0, 0, 512, 5]",1.0,0.0,2.8800964355468746e-05,0.3621547222137451
aloi,test,0.001,ann-faiss,"{}_[0, 0, 512, 10]",1.0,0.0,2.8419494628906254e-05,0.3621547222137451
aloi,test,0.001,ann-faiss,"{}_[0, 0, 512, 50]",1.0,0.0,1.5854835510253906e-05,0.3621547222137451
aloi,test,0.001,ann-faiss,"{}_[0, 0, 1024, 1]",1.0,0.0,3.187656402587891e-05,0.7390143871307373
aloi,test,0.001,ann-faiss,"{}_[0, 0, 1024, 5]",1.0,0.0,2.8657913208007817e-05,0.7390143871307373
aloi,test,0.001,ann-faiss,"{}_[0, 0, 1024, 10]",1.0,0.0,2.8419494628906254e-05,0.7390143871307373
aloi,test,0.001,ann-faiss,"{}_[0, 0, 1024, 50]",1.0,0.0,1.5449523925781246e-05,0.7390143871307373
aloi,test,0.001,ann-faiss,"{}_[0, 0, 2048, 1]",1.0,0.0,3.90768051147461e-05,1.5373985767364502
aloi,test,0.001,ann-faiss,"{}_[0, 0, 2048, 5]",1.0,0.0,2.870559692382813e-05,1.5373985767364502
aloi,test,0.001,ann-faiss,"{}_[0, 0, 2048, 10]",1.0,0.0,1.592636108398437e-05,1.5373985767364502
aloi,test,0.001,ann-faiss,"{}_[0, 0, 2048, 50]",1.0,0.0,1.5425682067871098e-05,1.5373985767364502
aloi,test,0.001,ann-faiss,"{}_[0, 0, 4096, 1]",1.0,0.0,3.459453582763671e-05,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 0, 4096, 5]",1.0,0.0,2.851486206054687e-05,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 0, 4096, 10]",1.0,0.0,2.8347969055175786e-05,3.355823040008545
aloi,test,0.001,ann-faiss,"{}_[0, 0, 4096, 50]",1.0,0.0,3.2353401184082035e-05,3.355823040008545
