dataset,query_set,mu,algorithm,params,rel_err,samples,query_time,build_time
aloi,test,0.01,ann-permuted-faiss,"{}_[10, 0, 512, 1]",0.9811819406800715,737.1222,0.030968785285949707,2.0649094581604004
aloi,test,0.01,ann-permuted-faiss,"{}_[10, 0, 512, 5]",0.9804835274176489,1621.7507,0.05625884532928468,2.0649094581604004
aloi,test,0.01,ann-permuted-faiss,"{}_[10, 0, 512, 10]",0.9804557956373361,2689.8592,0.0851733446121216,2.0649094581604004
aloi,test,0.01,ann-permuted-faiss,"{}_[10, 0, 512, 50]",0.9804468591110046,10693.8974,0.3143221378326416,2.0649094581604004
aloi,test,0.01,ann-permuted-faiss,"{}_[10, 50, 512, 1]",0.3816698536356193,787.128,0.03706524372100829,2.0649094581604004
aloi,test,0.01,ann-permuted-faiss,"{}_[10, 50, 512, 5]",0.37990190850800093,1671.7569,0.06172385215759278,2.0649094581604004
aloi,test,0.01,ann-permuted-faiss,"{}_[10, 50, 512, 10]",0.3841360504544858,2739.864,0.09179744720458986,2.0649094581604004
aloi,test,0.01,ann-permuted-faiss,"{}_[10, 50, 512, 50]",0.390541031504819,10743.904,0.3211292743682862,2.0649094581604004
aloi,test,0.01,ann-permuted-faiss,"{}_[10, 100, 512, 1]",0.28490678768516037,837.1324,0.041087913513183597,2.0649094581604004
aloi,test,0.01,ann-permuted-faiss,"{}_[10, 100, 512, 5]",0.28593522507905755,1721.761,0.06604230403900146,2.0649094581604004
aloi,test,0.01,ann-permuted-faiss,"{}_[10, 100, 512, 10]",0.2886879568803639,2789.871,0.09457712173461916,2.0649094581604004
aloi,test,0.01,ann-permuted-faiss,"{}_[10, 100, 512, 50]",0.28449651565757694,10793.9068,0.32535388469696047,2.0649094581604004
aloi,test,0.01,ann-permuted-faiss,"{}_[50, 0, 512, 1]",0.9411605520920177,737.1222,0.04070909023284912,2.0649094581604004
aloi,test,0.01,ann-permuted-faiss,"{}_[50, 0, 512, 5]",0.9376984838087281,1621.7507,0.0666299343109131,2.0649094581604004
aloi,test,0.01,ann-permuted-faiss,"{}_[50, 0, 512, 10]",0.937501931169656,2689.8592,0.09656860828399656,2.0649094581604004
aloi,test,0.01,ann-permuted-faiss,"{}_[50, 0, 512, 50]",0.9374315777622784,10693.8974,0.32672827243804925,2.0649094581604004
aloi,test,0.01,ann-permuted-faiss,"{}_[50, 50, 512, 1]",0.3345440487739292,787.1497,0.04591786861419678,2.0649094581604004
aloi,test,0.01,ann-permuted-faiss,"{}_[50, 50, 512, 5]",0.3278251426744168,1671.7817,0.07213058471679687,2.0649094581604004
aloi,test,0.01,ann-permuted-faiss,"{}_[50, 50, 512, 10]",0.32959934119038653,2739.8884,0.10228989124298099,2.0649094581604004
aloi,test,0.01,ann-permuted-faiss,"{}_[50, 50, 512, 50]",0.3258380052573936,10743.9247,0.33301694393157966,2.0649094581604004
aloi,test,0.01,ann-permuted-faiss,"{}_[50, 100, 512, 1]",0.2468697397193669,837.1762,0.0503849983215332,2.0649094581604004
aloi,test,0.01,ann-permuted-faiss,"{}_[50, 100, 512, 5]",0.2430354520200907,1721.8057,0.07683610916137695,2.0649094581604004
aloi,test,0.01,ann-permuted-faiss,"{}_[50, 100, 512, 10]",0.24491615368737493,2789.9168,0.10626335144042967,2.0649094581604004
aloi,test,0.01,ann-permuted-faiss,"{}_[50, 100, 512, 50]",0.24156577281865188,10793.9537,0.33914859294891364,2.0649094581604004
aloi,test,0.01,hbe,"{""binary"": ""hbe""}_[0.75, 0.0001]",0.118670790036657,800.6601,2.6571663181,8.604
aloi,test,0.01,hbe,"{""binary"": ""hbe""}_[1.0, 0.0001]",0.15670053532441647,488.3211,1.5424946151,5.056
aloi,test,0.01,hbe,"{""binary"": ""hbe""}_[2.0, 0.0001]",0.28572335135594507,178.1547,0.5295977308,1.539
aloi,test,0.01,hbe,"{""binary"": ""hbe""}_[3.0, 0.0001]",0.4403156571987898,107.7531,0.2788672814,0.579
aloi,test,0.01,naive,{}_null,8.114152982670661e-05,88000.0,0.8495010852813719,0.0035402774810791016
aloi,test,0.01,sklearn-balltree,"{}_[10, 0.0, 0.0]",2.3396247124387672e-12,88000.0,25.788762068748483,1.3316650390625
aloi,test,0.01,sklearn-balltree,"{}_[100, 0.0, 0.5]",0.24601361044085215,88000.0,24.716993474960322,1.3316650390625
aloi,test,0.01,rs,{}_10,0.7269152168225732,10.0,0.0028312444686889654,2.6226043701171875e-05
aloi,test,0.01,rs,{}_30,0.48359789903657013,30.0,0.007952046394348143,2.6226043701171875e-05
aloi,test,0.01,rs,{}_50,0.41209817196745874,50.0,0.013454914093017578,2.6226043701171875e-05
aloi,test,0.01,rs,{}_100,0.3108469699213518,100.0,0.026043963432312016,2.6226043701171875e-05
aloi,test,0.01,rs,{}_200,0.23153257670836683,200.0,0.051130723953247054,2.6226043701171875e-05
aloi,test,0.01,rs,{}_300,0.20085850694254268,300.0,0.07739391326904296,2.6226043701171875e-05
aloi,test,0.01,rs,{}_400,0.1734342641493849,400.0,0.10229198932647707,2.6226043701171875e-05
aloi,test,0.01,rs,{}_500,0.1585935522356462,500.0,0.12727279663085936,2.6226043701171875e-05
aloi,test,0.01,rs,{}_1000,0.11384146080610544,1000.0,0.2567508697509765,2.6226043701171875e-05
aloi,test,0.01,rs,{}_1100,0.10992042627177125,1100.0,0.28157269954681396,2.6226043701171875e-05
aloi,test,0.01,rs,{}_1200,0.1034055307838587,1200.0,0.30687699317932127,2.6226043701171875e-05
aloi,test,0.01,rs,{}_1300,0.1026744634140574,1300.0,0.33133130073547357,2.6226043701171875e-05
aloi,test,0.01,rs,{}_1400,0.09731497236849421,1400.0,0.3569585800170899,2.6226043701171875e-05
aloi,test,0.01,rs,{}_1500,0.09381686414994184,1500.0,0.3843732118606568,2.6226043701171875e-05
aloi,test,0.01,rs,{}_1600,0.09121454204479948,1600.0,0.4156375885009765,2.6226043701171875e-05
aloi,test,0.01,rs,{}_1700,0.08806342401815605,1700.0,0.43767626285552985,2.6226043701171875e-05
aloi,test,0.01,rs,{}_1800,0.0862704731713458,1800.0,0.46297695636749275,2.6226043701171875e-05
aloi,test,0.01,rs,{}_1900,0.08401270477485573,1900.0,0.48716890811920166,2.6226043701171875e-05
aloi,test,0.01,rs,{}_2000,0.08193142989771357,2000.0,0.5104114532470704,2.6226043701171875e-05
aloi,test,0.01,rs,{}_3000,0.06627829698150231,3000.0,0.7686028003692625,2.6226043701171875e-05
aloi,test,0.01,rs,{}_4000,0.05782622026554728,4000.0,1.0224460840225222,2.6226043701171875e-05
aloi,test,0.01,rs,{}_5000,0.05258215411245561,5000.0,1.2800630569458007,2.6226043701171875e-05
aloi,test,0.01,rs,{}_6000,0.04677609730234414,6000.0,1.546555995941162,2.6226043701171875e-05
aloi,test,0.01,rs,{}_7000,0.04346790334962722,7000.0,1.7930972814559933,2.6226043701171875e-05
aloi,test,0.01,rs,{}_8000,0.04050990123818213,8000.0,2.0416712760925293,2.6226043701171875e-05
aloi,test,0.01,rs,{}_9000,0.037808634934750104,9000.0,2.3018072843551636,2.6226043701171875e-05
aloi,test,0.01,rs,{}_10000,0.035432478034584464,10000.0,2.555653381347656,2.6226043701171875e-05
aloi,test,0.01,rs,{}_15000,0.027796631533668365,15000.0,3.825050950050354,2.6226043701171875e-05
aloi,test,0.01,rs,{}_20000,0.023354942463342094,20000.0,5.1193256139755245,2.6226043701171875e-05
aloi,test,0.01,rs,{}_50000,0.010881813277099759,50000.0,12.771539425849912,2.6226043701171875e-05
aloi,test,0.01,random-sampling,"{""binary"": ""hbe""}_[0.5, 0.0001]",0.07588472646326762,13785.8976,10.6199999567,0.0
aloi,test,0.01,rsp,{}_10,0.7389538764079472,10.0,0.0009458065032958984,0.030338287353515625
aloi,test,0.01,rsp,{}_30,0.4991484165261194,30.0,0.002048921585083008,0.030338287353515625
aloi,test,0.01,rsp,{}_50,0.4043474129239246,50.0,0.0031859397888183583,0.030338287353515625
aloi,test,0.01,rsp,{}_100,0.30567404703924655,100.0,0.006176853179931639,0.030338287353515625
aloi,test,0.01,rsp,{}_200,0.2298064834303098,200.0,0.011797332763671873,0.030338287353515625
aloi,test,0.01,rsp,{}_300,0.19457784399681327,300.0,0.017750287055969236,0.030338287353515625
aloi,test,0.01,rsp,{}_400,0.1749703498769267,400.0,0.02363626956939697,0.030338287353515625
aloi,test,0.01,rsp,{}_500,0.15660898779886226,500.0,0.02966685295104981,0.030338287353515625
aloi,test,0.01,rsp,{}_1000,0.11232846612747827,1000.0,0.05866689682006835,0.030338287353515625
aloi,test,0.01,rsp,{}_1100,0.10855632203334192,1100.0,0.0645824670791626,0.030338287353515625
aloi,test,0.01,rsp,{}_1200,0.10192862227888821,1200.0,0.07044432163238525,0.030338287353515625
aloi,test,0.01,rsp,{}_1300,0.10013914433489209,1300.0,0.07637827396392824,0.030338287353515625
aloi,test,0.01,rsp,{}_1400,0.09588853496511399,1400.0,0.08224050998687746,0.030338287353515625
